"","Div","Date","Team1","Team2","HomeAway","GS","GA","FTR","HTGS","HTGA","HTR","Referee","ShotsTaken","ShotsAllowed","ShotsOnTarget","ShotsOnTargetAllowed","FoulsCommited","FoulsReceived","CornerKicks","CornerKicksAllowed","YellowCards","YellowCardsOpp","RedCards","RedCardsOpp"
"1","E0","11/08/17","Arsenal","Leicester","Home",4,3,"H",2,2,"D","M Dean",27,6,10,3,9,12,9,4,0,1,0,0
"2","E0","12/08/17","Brighton","Man City","Home",0,2,"A",0,0,"D","M Oliver",6,14,2,4,6,9,3,10,0,2,0,0
"3","E0","12/08/17","Chelsea","Burnley","Home",2,3,"A",0,3,"A","C Pawson",19,10,6,5,16,11,8,5,3,3,2,0
"4","E0","12/08/17","Crystal Palace","Huddersfield","Home",0,3,"A",0,2,"A","J Moss",14,8,4,6,7,19,12,9,1,3,0,0
"5","E0","12/08/17","Everton","Stoke","Home",1,0,"H",1,0,"H","N Swarbrick",9,9,4,1,13,10,6,7,1,1,0,0
"6","E0","12/08/17","Southampton","Swansea","Home",0,0,"D",0,0,"D","M Jones",29,4,2,0,10,13,13,0,2,1,0,0
"7","E0","12/08/17","Watford","Liverpool","Home",3,3,"D",2,1,"H","A Taylor",9,14,4,5,14,8,3,3,0,3,0,0
"8","E0","12/08/17","West Brom","Bournemouth","Home",1,0,"H",1,0,"H","R Madley",16,9,6,2,15,3,8,2,3,1,0,0
"9","E0","13/08/17","Man United","West Ham","Home",4,0,"H",1,0,"H","M Atkinson",22,9,6,1,19,7,11,1,2,2,0,0
"10","E0","13/08/17","Newcastle","Tottenham","Home",0,2,"A",0,0,"D","A Marriner",6,18,3,6,6,10,5,7,1,2,1,0
"11","E0","19/08/17","Bournemouth","Watford","Home",0,2,"A",0,0,"D","R East",6,19,2,7,6,14,8,5,1,3,0,0
"12","E0","19/08/17","Burnley","West Brom","Home",0,1,"A",0,0,"D","M Atkinson",20,8,0,1,11,11,5,5,1,0,0,1
"13","E0","19/08/17","Leicester","Brighton","Home",2,0,"H",1,0,"H","L Probert",14,5,4,2,8,10,6,2,1,0,0,0
"14","E0","19/08/17","Liverpool","Crystal Palace","Home",1,0,"H",0,0,"D","K Friend",23,4,13,1,12,13,4,2,1,3,0,0
"15","E0","19/08/17","Southampton","West Ham","Home",3,2,"H",2,1,"H","L Mason",14,16,5,8,18,10,7,2,1,1,0,1
"16","E0","19/08/17","Stoke","Arsenal","Home",1,0,"H",0,0,"D","A Marriner",11,18,4,6,6,11,2,9,0,0,0,0
"17","E0","19/08/17","Swansea","Man United","Home",0,4,"A",0,1,"A","J Moss",6,17,1,8,12,11,3,5,1,1,0,0
"18","E0","20/08/17","Huddersfield","Newcastle","Home",1,0,"H",0,0,"D","C Pawson",7,13,3,5,13,10,7,3,3,4,0,0
"19","E0","20/08/17","Tottenham","Chelsea","Home",1,2,"A",0,1,"A","A Taylor",18,9,6,2,14,21,14,3,3,3,0,0
"20","E0","21/08/17","Man City","Everton","Home",1,1,"D",0,1,"A","R Madley",19,7,6,2,7,9,7,1,1,2,1,1
"21","E0","26/08/17","Bournemouth","Man City","Home",1,2,"A",1,1,"D","M Dean",9,19,3,8,13,14,2,5,5,4,0,1
"22","E0","26/08/17","Crystal Palace","Swansea","Home",0,2,"A",0,1,"A","A Marriner",16,7,3,3,9,6,1,1,4,1,0,0
"23","E0","26/08/17","Huddersfield","Southampton","Home",0,0,"D",0,0,"D","S Attwell",16,6,6,3,10,10,5,4,0,1,0,0
"24","E0","26/08/17","Man United","Leicester","Home",2,0,"H",0,0,"D","M Oliver",22,11,7,4,8,7,9,3,1,2,0,0
"25","E0","26/08/17","Newcastle","West Ham","Home",3,0,"H",1,0,"H","N Swarbrick",16,8,8,3,17,11,7,5,1,3,0,0
"26","E0","26/08/17","Watford","Brighton","Home",0,0,"D",0,0,"D","G Scott",8,16,0,2,7,18,3,11,0,1,1,0
"27","E0","27/08/17","Chelsea","Everton","Home",2,0,"H",2,0,"H","J Moss",18,7,7,0,12,7,6,3,2,2,0,0
"28","E0","27/08/17","Liverpool","Arsenal","Home",4,0,"H",2,0,"H","C Pawson",18,8,10,0,6,9,4,3,2,4,0,0
"29","E0","27/08/17","Tottenham","Burnley","Home",1,1,"D",0,0,"D","L Mason",28,13,5,3,9,9,10,7,0,0,0,0
"30","E0","27/08/17","West Brom","Stoke","Home",1,1,"D",0,0,"D","A Taylor",10,16,2,2,10,9,10,4,2,2,0,0
